UTM LinePoints 1 Points:
736.011730787,313.861610004
727.018659078,324.313367719
711.282138445,342.561061999
703.577750373,351.617279320
691.469404561,365.702286040
679.611854712,379.553729782
667.928832910,393.139339780
656.170925761,406.824751848
644.989150696,419.910217835
640.054106925,425.639739253
UTM LinePoints 2 Points:
493.300799001,447.687977514
482.328583099,458.460357978
460.002609512,484.310446399
443.881356819,502.971817229
425.628849619,524.173487556
UTM LinePoints 3 Points:
777.432321133,171.623236313
798.922752748,190.276919703
UTM LinePoints 4 Points:
753.453744071,148.187567418
753.654196745,149.376228394
753.742761593,149.743780654
753.974264587,150.354815956
754.805496760,151.983327962
777.432321131,171.623236321
UTM LinePoints 5 Points:
753.453744077,148.187567417
745.237855327,157.672497155
729.350414790,176.053695893
714.563648190,193.136462448
700.777304453,209.020825738
685.915730069,226.203425921
671.905054576,242.420207169
664.824179822,250.600131679
UTM LinePoints 6 Points:
664.824179821,250.600131677
665.580167330,252.276887738
666.717811164,253.726330031
685.437990411,269.972091381
UTM LinePoints 7 Points:
685.437990413,269.972091377
700.064717751,282.665549777
UTM LinePoints 8 Points:
720.697057587,300.570955620
736.011730791,313.861610011
UTM LinePoints 9 Points:
700.064717751,282.665549777
720.697057587,300.570955620
UTM LinePoints 10 Points:
716.459734025,233.274223837
719.831445823,229.285607979
UTM LinePoints 11 Points:
685.437990411,269.972091381
716.459734025,233.274223837
UTM LinePoints 12 Points:
720.697057581,300.570955627
734.091346725,284.737012619
734.325749821,283.889471584
734.217807356,283.230181163
731.929622010,281.245136880
731.700725276,280.639859051
731.814978349,279.925564397
748.463522886,260.938814103
UTM LinePoints 13 Points:
748.463522886,260.938814103
751.995283374,256.911050487
UTM LinePoints 14 Points:
700.064717751,282.665549777
733.841624779,241.318875817
UTM LinePoints 15 Points:
719.831445832,229.285607990
733.841624779,241.318875818
UTM LinePoints 16 Points:
733.841624779,241.318875818
751.995283374,256.911050488
UTM LinePoints 17 Points:
640.054106934,425.639739266
567.577443677,362.935022949
UTM LinePoints 18 Points:
664.824179821,250.600131677
657.693962086,258.837080048
646.384398464,271.824737112
634.800480838,285.211307866
619.539248437,302.893201630
608.079957118,316.080481662
595.771226394,330.365683973
584.136853756,343.752817867
575.580768750,353.675952689
567.577443681,362.935022947
UTM LinePoints 19 Points:
567.577443677,362.935022949
509.353900718,312.562936547
UTM LinePoints 20 Points:
664.824179821,250.600131677
606.866490483,199.589860614
UTM LinePoints 21 Points:
477.035170632,568.400904524
425.628849619,524.173487556
UTM LinePoints 22 Points:
425.628849617,524.173487555
379.887108330,484.704269811
UTM LinePoints 23 Points:
567.577443677,362.935022949
561.045058846,370.492379129
548.234990128,385.244813512
536.051003921,399.330773001
523.291310107,414.049733015
516.802589413,421.556091260
UTM LinePoints 24 Points:
589.777387475,484.203886149
